CommonName,BirdSpeciesOrder
Common Nighthawk,Accipitriformes
Mute Swan,Anseriformes
American Kestrel,Falconiformes
White-winged Scoter,Anseriformes
Tundra Swan,Anseriformes
Black Scoter,Anseriformes
Great Horned Owl,Strigiformes
Ring-necked Duck,Anseriformes
American Wigeon,Anseriformes
Dunlin,Charadriiformes
Unidentified Sandpiper,Charadriiformes
Unidentified Tern,Charadriiformes
Unidentified Accipiter Hawk,Accipitriformes
Vesper Sparrow,Passeriformes
Broad-winged Hawk,Accipitriformes
Connecticut Warbler,Passeriformes
Yellow-bellied Flycatcher,Passeriformes
Unidentified Thrush,Passeriformes
